Product,Category,Price,Quantity,Revenue,Date,Rating,Region
Laptop,Electronics,1200,150,180000,2024-01-15,4.5,North
Mouse,Electronics,25,500,12500,2024-01-16,4.2,North
Keyboard,Electronics,75,300,22500,2024-01-17,4.3,South
Monitor,Electronics,350,200,70000,2024-01-18,4.6,East
Tablet,Electronics,600,100,60000,2024-01-19,4.4,West
Smartphone,Electronics,800,250,200000,2024-01-20,4.7,North
Headphones,Electronics,150,400,60000,2024-01-21,4.1,South
Webcam,Electronics,80,180,14400,2024-01-22,4.0,East
Printer,Electronics,250,120,30000,2024-01-23,4.2,West
Router,Electronics,120,90,10800,2024-01-24,4.3,North
Desk,Furniture,300,80,24000,2024-01-25,4.4,South
Chair,Furniture,150,200,30000,2024-01-26,4.5,East
Bookshelf,Furniture,200,60,12000,2024-01-27,4.1,West
Table,Furniture,250,100,25000,2024-01-28,4.3,North
Cabinet,Furniture,400,50,20000,2024-01-29,4.6,South
Sofa,Furniture,800,30,24000,2024-01-30,4.7,East
Lamp,Furniture,60,150,9000,2024-01-31,4.0,West
Wardrobe,Furniture,600,40,24000,2024-02-01,4.4,North
Mirror,Furniture,80,120,9600,2024-02-02,4.2,South
Carpet,Furniture,120,90,10800,2024-02-03,4.1,East
